State_Code,City_Name,Img
CAI,Cairo,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Cairo.svg/120px-Flag_of_Cairo.svg.png
ALX,Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Alexandria.svg/120px-Flag_of_Alexandria.svg.png
GIZ,Giza,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_Giza_Governorate.png/120px-Flag_of_Giza_Governorate.png
DKH,Mansoura,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Governadorat_de_Daqahliya.png/120px-Governadorat_de_Daqahliya.png
GHB,Tanta,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Governadorat_de_Gharbiya.png/120px-Governadorat_de_Gharbiya.png
SHR,Zagazig,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Ash_Sharqiyah.svg/120px-Flag_of_Ash_Sharqiyah.svg.png
ASW,Aswan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Governadorat_dAswan.svg/120px-Governadorat_dAswan.svg.png
EGY,New Capital,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Common_flag_of_cairo.png/120px-Common_flag_of_cairo.png
ASY,Assiut,https://upload.wikimedia.org/wikipedia/ar/thumb/2/25/Flag_of_Asyut_Governorate.png/120px-Flag_of_Asyut_Governorate.png
LXR,Luxor,https://upload.wikimedia.org/wikipedia/ar/thumb/6/6d/Flag_of_Luxor_Governorate.png/120px-Flag_of_Luxor_Governorate.png
QNA,Qena,https://upload.wikimedia.org/wikipedia/ar/thumb/0/01/Flag_of_Qena_Governorate.png/120px-Flag_of_Qena_Governorate.png
SOH,Sohag,https://upload.wikimedia.org/wikipedia/ar/thumb/9/9d/Flag_of_Sohag_Governorate.png/120px-Flag_of_Sohag_Governorate.png
PSD,Port Said,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Flag_of_Port_Said_Governorate.PNG/120px-Flag_of_Port_Said_Governorate.PNG
MIN,Minya,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_Minya_Governorate.jpg/120px-Flag_of_Minya_Governorate.jpg
FAY,Fayoum,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Governadorat_de_Faium.png/120px-Governadorat_de_Faium.png
BNS,Beni Suef,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Beni_Suef_Governorate_New_Flag.svg/120px-Beni_Suef_Governorate_New_Flag.svg.png
DMI,Damietta,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Flag_of_Damietta_Governorate.svg/120px-Flag_of_Damietta_Governorate.svg.png
KFS,Kafr El Sheikh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_Kafr_El-Sheikh_Governorate.svg/120px-Flag_of_Kafr_El-Sheikh_Governorate.svg.png
HUR,Hurghada,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Red_sea_governorate_flag.png/120px-Red_sea_governorate_flag.png
MNF,Monufia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Menoufia_Governorate.PNG/120px-Flag_of_Menoufia_Governorate.PNG
BEH,Beheira,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_Behira_Govenorate.svg/120px-Flag_of_Behira_Govenorate.svg.png
SUZ,Suez,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_Suez_Governorate.svg/120px-Flag_of_Suez_Governorate.svg.png
ISM,Ismailia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Governadorat_d%27Ismailiya.png/120px-Governadorat_d%27Ismailiya.png
MAT,Marsa Matrouh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Coat_of_arms_of_Matrouh_Governorate.jpg/120px-Coat_of_arms_of_Matrouh_Governorate.jpg
NVS,New Valley,https://upload.wikimedia.org/wikipedia/ar/thumb/7/71/Flag_of_New_Valley_Governorate.png/120px-Flag_of_New_Valley_Governorate.png
SIN,North Sinai,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/North_Sinai_%28New_Flag%29.svg/120px-North_Sinai_%28New_Flag%29.svg.png
SSH,South Sinai,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Governadorat_de_Sinai_del_sud.png/120px-Governadorat_de_Sinai_del_sud.png
