product_category_name,product_category_name_english
perfumaria,Scented Candles & Diffusers
artes,Gallery Wall Art
esporte_lazer,Home Gym Equipment
bebes,Baby Crib & Nursery
utilidades_domesticas,Kitchen Organizers
instrumentos_musicais,Music Corner Piano
cool_stuff,Trendy Decor Pieces
moveis_decoracao,Modern Sofa Set
eletrodomesticos,Built-in Kitchen Appliances
brinquedos,Kids Play Table
cama_mesa_banho,Luxury Linen & Towels
construcao_ferramentas_seguranca,Construction Safety Gear
informatica_acessorios,Tech Desk Setup
beleza_saude,Vanity Mirror with Lights
malas_acessorios,Walk-in Closet Storage
ferramentas_jardim,Garden Patio Furniture
moveis_escritorio,Ergonomic Office Chair
automotivo,Garage Tool Cabinet
eletronicos,Smart Home System
fashion_calcados,Shoe Rack Organizer
telefonia,Charging Station Table
papelaria,Reading Nook Library
fashion_bolsas_e_acessorios,Handbag Display Rack
pcs,Gaming PC Station
casa_construcao,Home Renovation Materials
relogios_presentes,Wall Clocks & Gifts
construcao_ferramentas_construcao,Building Tools Set
pet_shop,Pet Bed & House
eletroportateis,Portable Home Gadgets
agro_industria_e_comercio,Industrial Workspace Desk
moveis_sala,Safety Signage Board
sinalizacao_e_seguranca,Central AC Vents
climatizacao,Gaming Zone Chair
consoles_games,Bookshelf Display
livros_interesse_geral,Professional Tool Box
construcao_ferramentas_ferramentas,Beach & Pool Furniture
fashion_underwear_e_moda_praia,Men's Wardrobe Closet
fashion_roupa_masculina,Dining Table & Chairs
moveis_cozinha_area_de_servico_jantar_e_jardim,Business Office Setup
industria_comercio_e_negocios,Vintage Landline Phone
telefonia_fixa,Crystal Chandeliers
construcao_ferramentas_iluminacao,Technical Reference Books
livros_tecnicos,Premium Appliances
eletrodomesticos_2,Event Decoration Props
artigos_de_festas,Home Bar Cabinet
bebidas,Market Display Stand
market_place,Gourmet Kitchenware
la_cuisine,Outdoor Garden Tools
construcao_ferramentas_jardim,Full Length Mirror
fashion_roupa_feminina,Cozy Home Textiles
casa_conforto,Surround Sound Speakers
audio,Mini Bar & Snacks Drawer
alimentos_bebidas,Vinyl Record Player
musica,Pantry Storage
alimentos,Graphic Design Tablet
tablets_impressao_imagem,Imported Coffee Table Books
livros_importados,Coffee & Espresso Corner
portateis_casa_forno_e_cafe,Activewear Storage
fashion_esporte,Christmas Tree & Decor
artigos_de_natal,Kids Wardrobe
fashion_roupa_infanto_juvenil,Home Cinema System
dvds_blu_ray,Craft & Hobby Table
artes_e_artesanato,Pro Gaming Setup
pc_gamer,King Size Bed
moveis_quarto,Photography Studio Lights
cine_foto,Baby Hygiene Station
fraldas_higiene,Indoor Plants & Vases
flores,Memory Foam Mattress
casa_conforto_2,Electric Food Processor
portateis_cozinha_e_preparadores_de_alimentos,Home Security System
seguros_e_servicos,Recliner Sofa
moveis_colchao_e_estofado,Music Media Collection
cds_dvds_musicais,Media Storge Cabinet
